paper_id,cited_dataset,title,abstract,year,url,citation_count,is_open_access,venue,fields_of_study,publication_types,journal,authors,external_ids,doi,arxiv_id,pubmed_id,evaluation_metrics
e0a3c4ffc28e87992dd8413046c0ab3062da4270,DDSM,Deep transfer learning with fuzzy ensemble approach for the early detection of breast cancer,"Breast Cancer is a significant global health challenge, particularly affecting women with higher mortality compared with other cancer types. Timely detection of such cancer types is crucial, and recent research, employing deep learning techniques, shows promise in earlier detection. The research focuses on the early detection of such tumors using mammogram images with deep-learning models. The paper utilized four public databases where a similar amount of 986 mammograms each for three classes (normal, benign, malignant) are taken for evaluation. Herein, three deep CNN models such as VGG-11, Inception v3, and ResNet50 are employed as base classifiers. The research adopts an ensemble method where the proposed approach makes use of the modified Gompertz function for building a fuzzy ranking of the base classification models and their decision scores are integrated in an adaptive manner for constructing the final prediction of results. The classification results of the proposed fuzzy ensemble approach outperform transfer learning models and other ensemble approaches such as weighted average and Sugeno integral techniques. The proposed ResNet50 ensemble network using the modified Gompertz function-based fuzzy ranking approach provides a superior classification accuracy of 98.986%.",2024.0,https://www.semanticscholar.org/paper/e0a3c4ffc28e87992dd8413046c0ab3062da4270,8,True,BMC Medical Imaging,"Medicine, Computer Science",JournalArticle,"{'volume': '24', 'name': 'BMC Medical Imaging'}","S. Chakravarthy, N. Bharanidharan, V. V. Kumar, T. Mahesh, Mohammed S. Alqahtani, Suresh Guluwadi","{'DBLP': 'journals/bmcmi/ChakravarthyBKMAG24', 'PubMedCentral': '11389118', 'DOI': '10.1186/s12880-024-01267-8', 'CorpusId': 268999829, 'PubMed': '38589813'}",10.1186/s12880-024-01267-8,,38589813.0,"PPR, accuracy"
3819b51b28cfa356a909ed5adc2953f7de6e0197,"DDSM, INbreast",Dual view deep learning for enhanced breast cancer screening using mammography,"Breast cancer has the highest incidence rate among women in Ethiopia compared to other types of cancer. Unfortunately, many cases are detected at a stage where a cure is delayed or not possible. To address this issue, mammography-based screening is widely accepted as an effective technique for early detection. However, the interpretation of mammography images requires experienced radiologists in breast imaging, a resource that is limited in Ethiopia. In this research, we have developed a model to assist radiologists in mass screening for breast abnormalities and prioritizing patients. Our approach combines an ensemble of EfficientNet-based classifiers with YOLOv5, a suspicious mass detection method, to identify abnormalities. The inclusion of YOLOv5 detection is crucial in providing explanations for classifier predictions and improving sensitivity, particularly when the classifier fails to detect abnormalities. To further enhance the screening process, we have also incorporated an abnormality detection model. The classifier model achieves an F1-score of 0.87 and a sensitivity of 0.82. With the addition of suspicious mass detection, sensitivity increases to 0.89, albeit at the expense of a slightly lower F1-score of 0.79.",2024.0,https://www.semanticscholar.org/paper/3819b51b28cfa356a909ed5adc2953f7de6e0197,7,True,Scientific Reports,Medicine,JournalArticle,"{'volume': '14', 'name': 'Scientific Reports'}","Samuel Rahimeto Kebede, Fraol Gelana Waldamichael, Taye Girma Debelee, Muluberhan Aleme, Wubalem Bedane, Bethelhem Mezgebu, Z. Merga","{'PubMedCentral': '10869685', 'DOI': '10.1038/s41598-023-50797-8', 'CorpusId': 267698596, 'PubMed': '38360869'}",10.1038/s41598-023-50797-8,,38360869.0,"F1, F1-score, PPR, ROC, sensitivity"
9f576423d707593b67d602d560fc7354badffdf5,"DDSM, INbreast",Deep learning versus classical neural approach to mammogram recognition,"Bull. Pol. Ac.: Tech. 66(6) 2018 Abstract. Automatic recognition of mammographic images in breast cancer is a complex issue due to the confusing appearance of some perfectly normal tissues which look like masses. The existing computer-aided systems suffer from non-satisfactory accuracy of cancer detection. This paper addresses this problem and proposes two alternative techniques of mammogram recognition: the application of a variety of methods for definition of numerical image descriptors in combination with an efficient SVM classifier (so-called classical approach) and application of deep learning in the form of convolutional neural networks, enhanced with additional transformations of input mammographic images. The key point of the first approach is defining the proper numerical image descriptors and selecting the set which is the most class discriminative. To achieve better performance of the classifier, many image descriptors were defined by means of applying different characterization of the images: Hilbert curve representation, Kolmogorov-Smirnov statistics, the maximum subregion principle, percolation theory, fractal texture descriptors as well as application of wavelet and wavelet packets. Thanks to them, better description of the basic image properties has been obtained. In the case of deep learning, the features are automatically extracted as part of convolutional neural network learning. To get better quality of results, additional representations of mammograms, in the form of nonnegative matrix factorization and the self-similarity principle, have been proposed. The methods applied were evaluated based on a large database composed of 10,168 regions of interest in mammographic images taken from the DDSM database. Experimental results prove the advantage of deep learning over traditional approach to image recognition. Our best average accuracy in recognizing abnormal cases (malignant plus benign versus healthy) was 85.83%, with sensitivity of 82.82%, specificity of 86.59% and AUC = 0.919. These results are among the best for this massive database.",2023.0,https://www.semanticscholar.org/paper/9f576423d707593b67d602d560fc7354badffdf5,22,True,Bulletin of the Polish Academy of Sciences: Technical Sciences,Computer Science,JournalArticle,{'name': 'Bulletin of the Polish Academy of Sciences Technical Sciences'},"J. Kurek, B. Świderski, S. Osowski, M. Kruk, W. Barhoumi","{'MAG': '2952315395', 'DOI': '10.24425/BPAS.2018.125930', 'CorpusId': 197477471}",10.24425/BPAS.2018.125930,,,"AUC, PPR, accuracy, sensitivity, specificity"
46390c66047398db8d3d0fe617e45430dc3ee352,"CBIS-DDSM, DDSM",Deep Cross-Training: An Approach to Improve Deep Neural Network Classification on Mammographic Images,,2023.0,https://www.semanticscholar.org/paper/46390c66047398db8d3d0fe617e45430dc3ee352,9,False,Expert systems with applications,Computer Science,JournalArticle,"{'volume': '238', 'pages': '122142', 'name': 'Expert Syst. Appl.'}","Keila Lucas dos Santos, Marcelino Pereira dos Santos Silva","{'DBLP': 'journals/eswa/SantosS24', 'DOI': '10.1016/j.eswa.2023.122142', 'CorpusId': 264417355}",10.1016/j.eswa.2023.122142,,,PPR
e8f34161317d6b21ad267588ccaedf02d160ef93,"DDSM, MIAS",Breast Cancer Detection in Mammography Images: A CNN-Based Approach with Feature Selection,"The prompt and accurate diagnosis of breast lesions, including the distinction between cancer, non-cancer, and suspicious cancer, plays a crucial role in the prognosis of breast cancer. In this paper, we introduce a novel method based on feature extraction and reduction for the detection of breast cancer in mammography images. First, we extract features from multiple pre-trained convolutional neural network (CNN) models, and then concatenate them. The most informative features are selected based on their mutual information with the target variable. Subsequently, the selected features can be classified using a machine learning algorithm. We evaluate our approach using four different machine learning algorithms: neural network (NN), k-nearest neighbor (kNN), random forest (RF), and support vector machine (SVM). Our results demonstrate that the NN-based classifier achieves an impressive accuracy of 92% on the RSNA dataset. This dataset is newly introduced and includes two views as well as additional features like age, which contributed to the improved performance. We compare our proposed algorithm with state-of-the-art methods and demonstrate its superiority, particularly in terms of accuracy and sensitivity. For the MIAS dataset, we achieve an accuracy as high as 94.5%, and for the DDSM dataset, an accuracy of 96% is attained. These results highlight the effectiveness of our method in accurately diagnosing breast lesions and surpassing existing approaches.",2023.0,https://www.semanticscholar.org/paper/e8f34161317d6b21ad267588ccaedf02d160ef93,43,True,Inf.,Computer Science,JournalArticle,"{'volume': '14', 'pages': '410', 'name': 'Inf.'}","Zahra Jafari, E. Karami","{'DBLP': 'journals/information/JafariK23', 'DOI': '10.3390/info14070410', 'CorpusId': 259964125}",10.3390/info14070410,,,"PPR, accuracy, sensitivity"
7a31444217da179415bf465a037e4993730b41f6,"DDSM, EMBED",SABMIS: sparse approximation based blind multi-image steganography scheme,"We hide grayscale secret images into a grayscale cover image, which is considered to be a challenging steganography problem. Our goal is to develop a steganography scheme with enhanced embedding capacity while preserving the visual quality of the stego-image as well as the extracted secret image, and ensuring that the stego-image is resistant to steganographic attacks. The novel embedding rule of our scheme helps to hide secret image sparse coefficients into the oversampled cover image sparse coefficients in a staggered manner. The stego-image is constructed by using the Alternating Direction Method of Multipliers (ADMM) to solve the Least Absolute Shrinkage and Selection Operator (LASSO) formulation of the underlying minimization problem. Finally, the secret images are extracted from the constructed stego-image using the reverse of our embedding rule. Using these components together, to achieve the above mentioned competing goals, forms our most novel contribution. We term our scheme SABMIS (Sparse Approximation Blind Multi-Image Steganography). We perform extensive experiments on several standard images. By choosing the size of the length and the width of the secret images to be half of the length and the width of cover image, respectively, we obtain embedding capacities of 2 bpp (bits per pixel), 4 bpp, 6 bpp, and 8 bpp while embedding one, two, three, and four secret images, respectively. Our focus is on hiding multiple secret images. For the case of hiding two and three secret images, our embedding capacities are higher than all the embedding capacities obtained in the literature until now (3 times and 6 times than the existing best, respectively). For the case of hiding four secret images, although our capacity is slightly lower than one work (about 2/3rd), we do better on the other two goals (quality of stego-image & extracted secret image as well as resistance to steganographic attacks). For our experiments, there is very little deterioration in the quality of the stego-images as compared to their corresponding cover images. Like all other competing works, this is supported visually as well as over 30 dB of Peak Signal-to-Noise Ratio (PSNR) values. The good quality of the stego-images is further validated by multiple numerical measures. None of the existing works perform this exhaustive validation. When using SABMIS, the quality of the extracted secret images is almost same as that of the corresponding original secret images. This aspect is also not demonstrated in all competing literature. SABMIS further improves the security of the inherently steganographic attack resistant transform based schemes. Thus, it is one of the most secure schemes among the existing ones. Additionally, we demonstrate that SABMIS executes in few minutes, and show its application on the real-life problems of securely transmitting medical images over the internet.",2021.0,https://www.semanticscholar.org/paper/7a31444217da179415bf465a037e4993730b41f6,6,True,PeerJ Computer Science,"Medicine, Computer Science",JournalArticle,"{'volume': '8', 'name': 'PeerJ Computer Science'}","R. Agrawal, K. Ahuja, M. Steinbach, T. Wick","{'PubMedCentral': '9748825', 'ArXiv': '2110.11418', 'DBLP': 'journals/peerj-cs/AgrawalASW22', 'DOI': '10.7717/peerj-cs.1080', 'CorpusId': 239616253, 'PubMed': '36532802'}",10.7717/peerj-cs.1080,2110.11418,36532802.0,PPR
32320a5c9a49868b851ef6727cc3d0bd80f9f011,DDSM,Segmentation of malignant tumours in mammogram images: A hybrid approach using convolutional neural networks and connected component analysis,,2021.0,https://www.semanticscholar.org/paper/32320a5c9a49868b851ef6727cc3d0bd80f9f011,7,False,Expert Syst. J. Knowl. Eng.,Computer Science,JournalArticle,"{'volume': '39', 'name': 'Expert Systems'}","Abhijit Roy, B. Singh, S. K. Banchhor, K. Verma","{'MAG': '3204894386', 'DBLP': 'journals/es/RoySBV22', 'DOI': '10.1111/exsy.12826', 'CorpusId': 244213924}",10.1111/exsy.12826,,,PPR
065d77e46d3f7f06527b504cafdc44130cfb730a,DDSM,Large-scale Robust Deep AUC Maximization: A New Surrogate Loss and Empirical Studies on Medical Image Classification,,2020.0,https://www.semanticscholar.org/paper/065d77e46d3f7f06527b504cafdc44130cfb730a,111,True,IEEE International Conference on Computer Vision,"Computer Science, Mathematics","JournalArticle, Conference","{'pages': '3020-3029', 'name': '2021 IEEE/CVF International Conference on Computer Vision (ICCV)'}","Zhuoning Yuan, Yan Yan, M. Sonka, Tianbao Yang","{'DBLP': 'conf/iccv/Yuan0SY21', 'ArXiv': '2012.03173', 'DOI': '10.1109/ICCV48922.2021.00303', 'CorpusId': 237438763}",10.1109/ICCV48922.2021.00303,2012.03173,,AUC
74dff3ce12136ea987ce28fe0d665933092b29d7,DDSM,Fusion of Orthogonal Moment Features for Mammographic Mass Detection and Diagnosis,"Masses are mammographic nonpalpable signs of breast cancer. These masses could be detected using screening mammography. This paper proposed a system utilizing orthogonal moment invariants (OMIs) features for mammographic masses detection and diagnosis. In this work, three sets of OMIs features were extracted. These OMIs features are Gaussian-Hermite moments (GHMs), Gegenbauer moments (GeMs), and Legendre moments (LMs). The extracted features are fused and presented to the particle swarm optimization (PSO) algorithm for feature selection. The classification step is achieved using the support vector machine (SVM). The proposed system is evaluated using 400 regions, extracted from the DDSM dataset. The obtained results reveal the promising application of OMIs features for masses detection and identification. It shows that fusing the OMIs features produces an acceptable detection performance where the area under the receiver operating characteristics (ROC) curve is <inline-formula> <tex-math notation=""LaTeX"">$Az=0.969\pm 0.01$ </tex-math></inline-formula> and the best performance of OMIs features is <inline-formula> <tex-math notation=""LaTeX"">$Az = 0.856\pm 0.053$ </tex-math></inline-formula> for characterizing the malignancy of masses.",2020.0,https://www.semanticscholar.org/paper/74dff3ce12136ea987ce28fe0d665933092b29d7,8,True,IEEE Access,Computer Science,JournalArticle,"{'volume': '8', 'pages': '129911-129923', 'name': 'IEEE Access'}","M. A. A. El-Soud, Imad Zyout, Khalid M. Hosny, M. Eltoukhy","{'DBLP': 'journals/access/El-SoudZHE20', 'MAG': '3041464015', 'DOI': '10.1109/ACCESS.2020.3008038', 'CorpusId': 220734879}",10.1109/ACCESS.2020.3008038,,,"ROC, Receiver Operating Characteristic"
43cd7dcd12eca32b4e18a194030d75ae55903e7d,DDSM,An Approach to BI-RADS Uncertainty Levels Classification Via Deep Learning with Transfer Learning Technique,,2020.0,https://www.semanticscholar.org/paper/43cd7dcd12eca32b4e18a194030d75ae55903e7d,5,False,2020 IEEE 33rd International Symposium on Computer-Based Medical Systems (CBMS),Computer Science,JournalArticle,"{'pages': '603-608', 'name': '2020 IEEE 33rd International Symposium on Computer-Based Medical Systems (CBMS)'}","A. G. Medeiros, E. F. Ohata, Francisco H. S. Silva, P. Rego, P. P. R. Filho","{'MAG': '3082095991', 'DBLP': 'conf/cbms/MedeirosOSRF20', 'DOI': '10.1109/CBMS49503.2020.00119', 'CorpusId': 221473314}",10.1109/CBMS49503.2020.00119,,,PPR
