paper_id,cited_dataset,title,abstract,year,url,citation_count,is_open_access,venue,fields_of_study,publication_types,journal,authors,external_ids,doi,arxiv_id,pubmed_id,exclusion_filter,exclusion_reason,evaluation_metrics
dce02764a217f2cd5c419e4b182e784f4411b300,"CBIS-DDSM, DDSM, IRMA",(KAUH-BCMD) dataset: advancing mammographic breast cancer classification with multi-fusion preprocessing and residual depth-wise network,"The categorization of benign and malignant patterns in digital mammography is a critical step in the diagnosis of breast cancer, facilitating early detection and potentially saving many lives. Diverse breast tissue architectures often obscure and conceal breast issues. Classifying worrying regions (benign and malignant patterns) in digital mammograms is a significant challenge for radiologists. Even for specialists, the first visual indicators are nuanced and irregular, complicating identification. Therefore, radiologists want an advanced classifier to assist in identifying breast cancer and categorizing regions of concern. This study presents an enhanced technique for the classification of breast cancer using mammography images. The collection comprises real-world data from King Abdullah University Hospital (KAUH) at Jordan University of Science and Technology, consisting of 7,205 photographs from 5,000 patients aged 18–75. After being classified as benign or malignant, the pictures underwent preprocessing by rescaling, normalization, and augmentation. Multi-fusion approaches, such as high-boost filtering and contrast-limited adaptive histogram equalization (CLAHE), were used to improve picture quality. We created a unique Residual Depth-wise Network (RDN) to enhance the precision of breast cancer detection. The suggested RDN model was compared with many prominent models, including MobileNetV2, VGG16, VGG19, ResNet50, InceptionV3, Xception, and DenseNet121. The RDN model exhibited superior performance, achieving an accuracy of 97.82%, precision of 96.55%, recall of 99.19%, specificity of 96.45%, F1 score of 97.85%, and validation accuracy of 96.20%. The findings indicate that the proposed RDN model is an excellent instrument for early diagnosis using mammography images and significantly improves breast cancer detection when integrated with multi-fusion and efficient preprocessing approaches.",2025.0,https://www.semanticscholar.org/paper/dce02764a217f2cd5c419e4b182e784f4411b300,0,True,Frontiers in Big Data,Medicine,JournalArticle,"{'volume': '8', 'name': 'Frontiers in Big Data'}","Asma’a Mohammad Al-Mnayyis, Hasan Gharaibeh, Mohammad Amin, Duha Anakreh, H. Akhdar, Eman Hussein Alshdaifat, Khalid M. O. Nahar, Ahmad Nasayreh, Mohammad A. Gharaibeh, Neda'a Alsalman, Alaa Alomar, Maha Gharaibeh, Hamad Yahia Abu Mhanna","{'PubMedCentral': '11922913', 'DOI': '10.3389/fdata.2025.1529848', 'CorpusId': 276849838, 'PubMed': '40115240'}",10.3389/fdata.2025.1529848,,40115240.0,keyword,study (in abstract),"F1, F1 score, PPR, ROC, accuracy, precision, recall, specificity"
a7adca58f589cf9386757735f9747be1a899ecc9,DDSM,A review of convolutional neural network based methods for medical image classification,,2024.0,https://www.semanticscholar.org/paper/a7adca58f589cf9386757735f9747be1a899ecc9,8,False,Comput. Biol. Medicine,"Computer Science, Medicine","Review, JournalArticle","{'volume': '185', 'pages': '\n          109507\n        ', 'name': 'Computers in biology and medicine'}","Chao Chen, Nor Ashidi Mat Isa, Xin Liu","{'DBLP': 'journals/cbm/ChenIL25', 'DOI': '10.1016/j.compbiomed.2024.109507', 'CorpusId': 274507127, 'PubMed': '39631108'}",10.1016/j.compbiomed.2024.109507,,39631108.0,keyword,review (in title),
b8db28c21bfa82b782381c25a459c6818cdd7ae3,DDSM,LQ-Adapter: ViT-Adapter with Learnable Queries for Gallbladder Cancer Detection from Ultrasound Images,,2024.0,https://www.semanticscholar.org/paper/b8db28c21bfa82b782381c25a459c6818cdd7ae3,0,False,IEEE Workshop/Winter Conference on Applications of Computer Vision,Computer Science,"JournalArticle, Conference","{'pages': '557-567', 'name': '2025 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)'}","Chetan Madan, Mayuna Gupta, Soumen Basu, Pankaj Gupta, Chetan Arora","{'ArXiv': '2412.00374', 'DBLP': 'conf/wacv/MadanGB0025', 'DOI': '10.1109/WACV61041.2025.00064', 'CorpusId': 274437403}",10.1109/WACV61041.2025.00064,2412.00374,,keyword,ultrasound (in title); ultrasound (in title),
1c7adf086c3fa9ffe3d89958914c8e9a6319b055,DDSM,A Comparative Study of Different Deep Learning Models Over Diverse Mammography Datasets,,2024.0,https://www.semanticscholar.org/paper/1c7adf086c3fa9ffe3d89958914c8e9a6319b055,0,False,2024 IEEE International Conference on Medical Artificial Intelligence (MedAI),,Conference,"{'pages': '168-173', 'name': '2024 IEEE International Conference on Medical Artificial Intelligence (MedAI)'}","Sixiao Hu, Mou Zhou, Shangzhu Jin, Jun Peng, Yingxu Wang","{'DOI': '10.1109/MedAI62885.2024.00029', 'CorpusId': 275019154}",10.1109/MedAI62885.2024.00029,,,keyword,study (in title); comparative study (in title),
68483e765829d275b506f0c79d539805009cb3bb,"CBIS-DDSM, DDSM",Self-eXplainable AI for Medical Image Analysis: A Survey and New Outlooks,,2024.0,https://www.semanticscholar.org/paper/68483e765829d275b506f0c79d539805009cb3bb,3,False,arXiv.org,Computer Science,"JournalArticle, Review","{'volume': 'abs/2410.02331', 'name': 'ArXiv'}","Jun Hou, Sicen Liu, Yequan Bie, Hongmei Wang, Andong Tan, Luyang Luo, Hao Chen","{'DBLP': 'journals/corr/abs-2410-02331', 'ArXiv': '2410.02331', 'DOI': '10.48550/arXiv.2410.02331', 'CorpusId': 273098043}",10.48550/arXiv.2410.02331,2410.02331,,keyword,survey (in title),
da1690dd543faf06b4b8e8857e5bb9c30de8b5c7,"CBIS-DDSM, DDSM",Early Cancer Detection Using Deep Learning and Medical Imaging: A Survey.,,2024.0,https://www.semanticscholar.org/paper/da1690dd543faf06b4b8e8857e5bb9c30de8b5c7,2,True,Critical reviews in oncology/hematology,Medicine,"Review, JournalArticle","{'pages': '\n          104528\n        ', 'name': 'Critical reviews in oncology/hematology'}","Istiak Ahmad, Fahad Alqurashi","{'DOI': '10.1016/j.critrevonc.2024.104528', 'CorpusId': 273396511, 'PubMed': '39413940'}",10.1016/j.critrevonc.2024.104528,,39413940.0,keyword,survey (in title),
7ae9db1ad7fdb72daf8a12cfcd8fe752981f3f76,DDSM,Advances of AI in image-based computer-aided diagnosis: A review,,2024.0,https://www.semanticscholar.org/paper/7ae9db1ad7fdb72daf8a12cfcd8fe752981f3f76,15,True,Array,Computer Science,"JournalArticle, Review","{'volume': '23', 'pages': '100357', 'name': 'Array'}","N. Yeasmin, Md Al Amin, Tasmim Jamal Joti, Zeyar Aung, Mohammad Abdul Azim","{'DBLP': 'journals/array/YeasminAJAA24', 'DOI': '10.1016/j.array.2024.100357', 'CorpusId': 271057211}",10.1016/j.array.2024.100357,,,keyword,review (in title),
053dc610ba55edcd186cd1d574c74ba4f2c41384,DDSM,Computer-Aided Detection and Diagnosis of Breast Cancer: a Review,"

Statistics across different countries point to breast cancer being among severe cancers with a high mortality rate. Early detection is essential when it comes to reducing the severity and mortality of breast cancer. Researchers proposed many computer-aided diagnosis/detection (CAD) techniques for this purpose. Many perform well (over 90% of classification accuracy, sensitivity, specificity, and f-1 sore), nevertheless, there is still room for improvement. This paper reviews literature related to breast cancer and the challenges faced by the research community. It discusses the common stages of breast cancer detection/ diagnosis using CAD models along with deep learning and transfer learning (TL) methods. In recent studies, deep learning models outperformed the handcrafted feature extraction and classification task and the semantic segmentation of ROI images achieved good results. An accuracy of up to 99.8% has been obtained using these techniques. Furthermore, using TL, researchers combine the power of both, pre-trained deep learning-based networks and traditional feature extraction approaches.
",2024.0,https://www.semanticscholar.org/paper/053dc610ba55edcd186cd1d574c74ba4f2c41384,1,True,Advances in Distributed Computing and Artificial Intelligence Journal,,"JournalArticle, Review",{'name': 'ADCAIJ: Advances in Distributed Computing and Artificial Intelligence Journal'},"B. Sharma, R. Purwar","{'DOI': '10.14201/adcaij.31412', 'CorpusId': 270305886}",10.14201/adcaij.31412,,,keyword,review (in title); review (in abstract),"PPR, accuracy, sensitivity, specificity"
f0bac80cfe0c92c59edabb6f3f9d02cda2e8cb85,"BancoWeb, DDSM, INbreast, OPTIMAM",A Review of Artificial Intelligence in Breast Imaging,"With the increasing dominance of artificial intelligence (AI) techniques, the important prospects for their application have extended to various medical fields, including domains such as in vitro diagnosis, intelligent rehabilitation, medical imaging, and prognosis. Breast cancer is a common malignancy that critically affects women’s physical and mental health. Early breast cancer screening—through mammography, ultrasound, or magnetic resonance imaging (MRI)—can substantially improve the prognosis for breast cancer patients. AI applications have shown excellent performance in various image recognition tasks, and their use in breast cancer screening has been explored in numerous studies. This paper introduces relevant AI techniques and their applications in the field of medical imaging of the breast (mammography and ultrasound), specifically in terms of identifying, segmenting, and classifying lesions; assessing breast cancer risk; and improving image quality. Focusing on medical imaging for breast cancer, this paper also reviews related challenges and prospects for AI.",2024.0,https://www.semanticscholar.org/paper/f0bac80cfe0c92c59edabb6f3f9d02cda2e8cb85,5,True,Tomography,Medicine,"Review, JournalArticle","{'volume': '10', 'pages': '705 - 726', 'name': 'Tomography'}","Dhurgham Al-karawi, S. Al-Zaidi, K. Helael, Naser Obeidat, Abdulmajeed Mounzer Mouhsen, Tarek Ajam, Bashar A. Alshalabi, Mohamed Salman, Mohammed H. Ahmed","{'PubMedCentral': '11125819', 'DOI': '10.3390/tomography10050055', 'CorpusId': 269700523, 'PubMed': '38787015'}",10.3390/tomography10050055,,38787015.0,keyword,review (in title); review (in abstract); mri (in abstract); ultrasound (in abstract); ultrasound (in abstract),
7f5d384f2dc7a24e2249d5f6b42991000bfb335e,"ADMANI, CBIS-DDSM, DDSM, INbreast, VinDr-Mammo",Deep Learning in Breast Cancer Imaging: State of the Art and Recent Advancements in Early 2024,"The rapid advancement of artificial intelligence (AI) has significantly impacted various aspects of healthcare, particularly in the medical imaging field. This review focuses on recent developments in the application of deep learning (DL) techniques to breast cancer imaging. DL models, a subset of AI algorithms inspired by human brain architecture, have demonstrated remarkable success in analyzing complex medical images, enhancing diagnostic precision, and streamlining workflows. DL models have been applied to breast cancer diagnosis via mammography, ultrasonography, and magnetic resonance imaging. Furthermore, DL-based radiomic approaches may play a role in breast cancer risk assessment, prognosis prediction, and therapeutic response monitoring. Nevertheless, several challenges have limited the widespread adoption of AI techniques in clinical practice, emphasizing the importance of rigorous validation, interpretability, and technical considerations when implementing DL solutions. By examining fundamental concepts in DL techniques applied to medical imaging and synthesizing the latest advancements and trends, this narrative review aims to provide valuable and up-to-date insights for radiologists seeking to harness the power of AI in breast cancer care.",2024.0,https://www.semanticscholar.org/paper/7f5d384f2dc7a24e2249d5f6b42991000bfb335e,31,True,Diagnostics,Medicine,"Review, JournalArticle","{'volume': '14', 'name': 'Diagnostics'}","Alessandro Carriero, Léon Groenhoff, Elizaveta Vologina, Paola Basile, Marco Albera","{'PubMedCentral': '11048882', 'DOI': '10.3390/diagnostics14080848', 'CorpusId': 269268831, 'PubMed': '38667493'}",10.3390/diagnostics14080848,,38667493.0,keyword,review (in abstract); ultrasonography (in abstract),"PPR, precision"
