Unnamed: 0,paper_id,cited_dataset,title,abstract,year,url,citation_count,is_open_access,venue,fields_of_study,publication_types,journal,authors,external_ids,doi,arxiv_id,pubmed_id,evaluation_metrics,inclusion_type,key
0,e0a3c4ffc28e87992dd8413046c0ab3062da4270,"DDSM, BCDR, MIAS, INbreast, CBIS-DDSM",Deep transfer learning with fuzzy ensemble approach for the early detection of breast cancer,"Breast Cancer is a significant global health challenge, particularly affecting women with higher mortality compared with other cancer types. Timely detection of such cancer types is crucial, and recent research, employing deep learning techniques, shows promise in earlier detection. The research focuses on the early detection of such tumors using mammogram images with deep-learning models. The paper utilized four public databases where a similar amount of 986 mammograms each for three classes (normal, benign, malignant) are taken for evaluation. Herein, three deep CNN models such as VGG-11, Inception v3, and ResNet50 are employed as base classifiers. The research adopts an ensemble method where the proposed approach makes use of the modified Gompertz function for building a fuzzy ranking of the base classification models and their decision scores are integrated in an adaptive manner for constructing the final prediction of results. The classification results of the proposed fuzzy ensemble approach outperform transfer learning models and other ensemble approaches such as weighted average and Sugeno integral techniques. The proposed ResNet50 ensemble network using the modified Gompertz function-based fuzzy ranking approach provides a superior classification accuracy of 98.986%.",2024.0,https://www.semanticscholar.org/paper/e0a3c4ffc28e87992dd8413046c0ab3062da4270,8,True,BMC Medical Imaging,"Medicine, Computer Science",JournalArticle,"{'volume': '24', 'name': 'BMC Medical Imaging'}","S. Chakravarthy, N. Bharanidharan, V. V. Kumar, T. Mahesh, Mohammed S. Alqahtani, Suresh Guluwadi","{'DBLP': 'journals/bmcmi/ChakravarthyBKMAG24', 'PubMedCentral': '11389118', 'DOI': '10.1186/s12880-024-01267-8', 'CorpusId': 268999829, 'PubMed': '38589813'}",10.1186/s12880-024-01267-8,,38589813.0,"PPR, accuracy",automatic,Chakravarthy2024DeepTL
1,3819b51b28cfa356a909ed5adc2953f7de6e0197,"DDSM, VinDr-Mammo",Dual view deep learning for enhanced breast cancer screening using mammography,"Breast cancer has the highest incidence rate among women in Ethiopia compared to other types of cancer. Unfortunately, many cases are detected at a stage where a cure is delayed or not possible. To address this issue, mammography-based screening is widely accepted as an effective technique for early detection. However, the interpretation of mammography images requires experienced radiologists in breast imaging, a resource that is limited in Ethiopia. In this research, we have developed a model to assist radiologists in mass screening for breast abnormalities and prioritizing patients. Our approach combines an ensemble of EfficientNet-based classifiers with YOLOv5, a suspicious mass detection method, to identify abnormalities. The inclusion of YOLOv5 detection is crucial in providing explanations for classifier predictions and improving sensitivity, particularly when the classifier fails to detect abnormalities. To further enhance the screening process, we have also incorporated an abnormality detection model. The classifier model achieves an F1-score of 0.87 and a sensitivity of 0.82. With the addition of suspicious mass detection, sensitivity increases to 0.89, albeit at the expense of a slightly lower F1-score of 0.79.",2024.0,https://www.semanticscholar.org/paper/3819b51b28cfa356a909ed5adc2953f7de6e0197,7,True,Scientific Reports,Medicine,JournalArticle,"{'volume': '14', 'name': 'Scientific Reports'}","Samuel Rahimeto Kebede, Fraol Gelana Waldamichael, Taye Girma Debelee, Muluberhan Aleme, Wubalem Bedane, Bethelhem Mezgebu, Z. Merga","{'PubMedCentral': '10869685', 'DOI': '10.1038/s41598-023-50797-8', 'CorpusId': 267698596, 'PubMed': '38360869'}",10.1038/s41598-023-50797-8,,38360869.0,"F1, F1-score, PPR, ROC, sensitivity",automatic,Kebede2024DualVD
2,46390c66047398db8d3d0fe617e45430dc3ee352,"CBIS-DDSM, INbreast",Deep Cross-Training: An Approach to Improve Deep Neural Network Classification on Mammographic Images,,2023.0,https://www.semanticscholar.org/paper/46390c66047398db8d3d0fe617e45430dc3ee352,9,False,Expert systems with applications,Computer Science,JournalArticle,"{'volume': '238', 'pages': '122142', 'name': 'Expert Syst. Appl.'}","Keila Lucas dos Santos, Marcelino Pereira dos Santos Silva","{'DBLP': 'journals/eswa/SantosS24', 'DOI': '10.1016/j.eswa.2023.122142', 'CorpusId': 264417355}",10.1016/j.eswa.2023.122142,,,PPR,automatic,Santos2023DeepCA
3,32320a5c9a49868b851ef6727cc3d0bd80f9f011,DDSM,Segmentation of malignant tumours in mammogram images: A hybrid approach using convolutional neural networks and connected component analysis,,2021.0,https://www.semanticscholar.org/paper/32320a5c9a49868b851ef6727cc3d0bd80f9f011,7,False,Expert Syst. J. Knowl. Eng.,Computer Science,JournalArticle,"{'volume': '39', 'name': 'Expert Systems'}","Abhijit Roy, B. Singh, S. K. Banchhor, K. Verma","{'MAG': '3204894386', 'DBLP': 'journals/es/RoySBV22', 'DOI': '10.1111/exsy.12826', 'CorpusId': 244213924}",10.1111/exsy.12826,,,PPR,automatic,Roy2021SegmentationOM
4,43cd7dcd12eca32b4e18a194030d75ae55903e7d,CBIS-DDSM,An Approach to BI-RADS Uncertainty Levels Classification Via Deep Learning with Transfer Learning Technique,,2020.0,https://www.semanticscholar.org/paper/43cd7dcd12eca32b4e18a194030d75ae55903e7d,5,False,2020 IEEE 33rd International Symposium on Computer-Based Medical Systems (CBMS),Computer Science,JournalArticle,"{'pages': '603-608', 'name': '2020 IEEE 33rd International Symposium on Computer-Based Medical Systems (CBMS)'}","A. G. Medeiros, E. F. Ohata, Francisco H. S. Silva, P. Rego, P. P. R. Filho","{'MAG': '3082095991', 'DBLP': 'conf/cbms/MedeirosOSRF20', 'DOI': '10.1109/CBMS49503.2020.00119', 'CorpusId': 221473314}",10.1109/CBMS49503.2020.00119,,,PPR,automatic,Medeiros2020AnAT
5,a6b1a7b03ceace7fda1908a0fbe1e352b9fedb5d,DDSM,Breast Cancer Classification Using Deep Convolution Neural Network with Transfer Learning,"In this paper, we aim to apply deep learning convolution neural network (Deep-CNN) technology to classify breast masses in mammograms. We develop a Deep-CNN combined with multi-feature extraction and transfer learning to detect breast cancer. The Deep-CNN is utilized to extract features from mammograms. A support vector machine (SVM) is then trained on the Deep-CNN features to classify normal, benign, and cancer cases. The scoring features from the Deep-CNN are coupled with texture features and used as inputs to the final classifier. Two texture features are included: texture features of spatial dependency and gradient-based histograms. Both are employed to locate breast masses in mammograms. Next we apply transfer learning to the classifier of the SVM. Four techniques are devised for the experimental evaluation of the proposed system. The fourth technique combines the Deep-CNN with texture features and local features extracted by the scale-invariant feature transform (SIFT) algorithm. Experiments are designed to measure the performance of the various techniques. The results demonstrate that the proposed CNN coupled with the texture features and the SIFT outperforms the other models and performs best with transfer learning embedded. The accuracy of this model is 97.8%, with a true positive rate of 98.45% and a true negative rate of 96%.",2021.0,https://www.semanticscholar.org/paper/a6b1a7b03ceace7fda1908a0fbe1e352b9fedb5d,8,True,Intelligent Automation and Soft Computing,,,{'name': 'Intelligent Automation & Soft Computing'},"Hanan A. Hosni Mahmoud, Amal H. Alharbi, Doaa S. Khafga","{'DOI': '10.32604/iasc.2021.018607', 'CorpusId': 241840485}",10.32604/iasc.2021.018607,,,"accuracy, true positive rate",automatic,AHosniMahmoud2021BreastCC
6,0f62254d9a439eb91579d1696477b5a1d9a11fe9,"DDSM, MIAS",Medical Image Classification Using a Light-Weighted Hybrid Neural Network Based on PCANet and DenseNet,"Medical image classification plays an important role in disease diagnosis since it can provide important reference information for doctors. The supervised convolutional neural networks (CNNs) such as DenseNet provide the versatile and effective method for medical image classification tasks, but they require large amounts of data with labels and involve complex and time-consuming training process. The unsupervised CNNs such as principal component analysis network (PCANet) need no labels for training but cannot provide desirable classification accuracy. To realize the accurate medical image classification in the case of a small training dataset, we have proposed a light-weighted hybrid neural network which consists of a modified PCANet cascaded with a simplified DenseNet. The modified PCANet has two stages, in which the network produces the effective feature maps at each stage by convoluting inputs with various learned kernels. The following simplified DenseNet with a small number of weights will take all feature maps produced by the PCANet as inputs and employ the dense shortcut connections to realize accurate medical image classification. To appreciate the performance of the proposed method, some experiments have been done on mammography and osteosarcoma histology images. Experimental results show that the proposed hybrid neural network is easy to train and it outperforms such popular CNN models as PCANet, ResNet and DenseNet in terms of classification accuracy, sensitivity and specificity.",2020.0,https://www.semanticscholar.org/paper/0f62254d9a439eb91579d1696477b5a1d9a11fe9,68,True,IEEE Access,Computer Science,JournalArticle,"{'volume': '8', 'pages': '24697-24712', 'name': 'IEEE Access'}","Zhiwen Huang, Xingxing Zhu, Mingyue Ding, Xuming Zhang","{'MAG': '3004707432', 'DBLP': 'journals/access/HuangZDZ20', 'DOI': '10.1109/ACCESS.2020.2971225', 'CorpusId': 211120010}",10.1109/ACCESS.2020.2971225,,,"PPR, ROC, accuracy, map, sensitivity, specificity",automatic,Huang2020MedicalIC
7,651d3523a13b70429c0bf8624573a5cfbabc6b41,"CBIS-DDSM, INbreast",Breast Cancer Diagnosis Using YOLO-Based Multiscale Parallel CNN and Flattened Threshold Swish,"In the field of biomedical imaging, the use of Convolutional Neural Networks (CNNs) has achieved impressive success. Additionally, the detection and pathological classification of breast masses creates significant challenges. Traditional mammogram screening, conducted by healthcare professionals, is often exhausting, costly, and prone to errors. To address these issues, this research proposes an end-to-end Computer-Aided Diagnosis (CAD) system utilizing the ‘You Only Look Once’ (YOLO) architecture. The proposed framework begins by enhancing digital mammograms using the Contrast Limited Adaptive Histogram Equalization (CLAHE) technique. Then, features are extracted using the proposed CNN, leveraging multiscale parallel feature extraction capabilities while incorporating DenseNet and InceptionNet architectures. To combat the ‘dead neuron’ problem, the CNN architecture utilizes the ‘Flatten Threshold Swish’ (FTS) activation function. Additionally, the YOLO loss function has been enhanced to effectively handle lesion scale variation in mammograms. The proposed framework was thoroughly tested on two publicly available benchmarks: INbreast and CBIS-DDSM. It achieved an accuracy of 98.72% for breast cancer classification on the INbreast dataset and a mean Average Precision (mAP) of 91.15% for breast cancer detection on the CBIS-DDSM. The proposed CNN architecture utilized only 11.33 million parameters for training. These results highlight the proposed framework’s ability to revolutionize vision-based breast cancer diagnosis.",2024.0,https://www.semanticscholar.org/paper/651d3523a13b70429c0bf8624573a5cfbabc6b41,6,True,Applied Sciences,,JournalArticle,{'name': 'Applied Sciences'},"Ahmed Dhahi Mohammed, Dursun Ekmekci","{'DOI': '10.3390/app14072680', 'CorpusId': 268645257}",10.3390/app14072680,,,"accuracy, map, mean average precision, precision",automatic,Mohammed2024BreastCD
8,f76a633e057b8e416553a4982b63ff724c06dfe4,"CBIS-DDSM, INbreast",Attention-Map Augmentation for Hypercomplex Breast Cancer Classification,,2023.0,https://www.semanticscholar.org/paper/f76a633e057b8e416553a4982b63ff724c06dfe4,12,True,Pattern Recognition Letters,"Computer Science, Engineering",JournalArticle,"{'volume': '182', 'pages': '140-146', 'name': 'Pattern Recognit. Lett.'}","E. Lopez, Filippo Betello, Federico Carmignani, Eleonora Grassucci, Danilo Comminiello","{'ArXiv': '2310.07633', 'DBLP': 'journals/prl/LopezBCGC24', 'DOI': '10.48550/arXiv.2310.07633', 'CorpusId': 263834838}",10.48550/arXiv.2310.07633,2310.07633,,map,automatic,Lopez2023AttentionMapAF
9,812819a2cac8c3f3cd7023b4701bffdf1ad254da,CBIS-DDSM,MLN-net: A multi-source medical image segmentation method for clustered microcalcifications using multiple layer normalization,,2023.0,https://www.semanticscholar.org/paper/812819a2cac8c3f3cd7023b4701bffdf1ad254da,8,True,Knowledge-Based Systems,Computer Science,JournalArticle,"{'volume': 'abs/2309.02742', 'name': 'ArXiv'}","Ke Wang, Zanting Ye, Xiang Xie, Haidong Cui, Tao Chen, Banteng Liu","{'ArXiv': '2309.02742', 'DBLP': 'journals/corr/abs-2309-02742', 'DOI': '10.1016/j.knosys.2023.111127', 'CorpusId': 261557525}",10.1016/j.knosys.2023.111127,2309.02742,,ROC,automatic,Wang2023MLNnetAM
10,7da88694119fcb63aa82348ec994e055384c535f,CBIS-DDSM,Breast cancer diagnosis using hybrid AlexNet-ELM and chimp optimization algorithm evolved by Nelder-mead simplex approach,,2023.0,https://www.semanticscholar.org/paper/7da88694119fcb63aa82348ec994e055384c535f,9,False,Biomedical Signal Processing and Control,Computer Science,JournalArticle,"{'volume': '85', 'pages': '105053', 'name': 'Biomed. Signal Process. Control.'}","Junyue Cao, Diyar Qader Zeebaree, Qingfeng Chen, D. A. Zebari","{'DBLP': 'journals/bspc/CaoZCZ23', 'DOI': '10.1016/j.bspc.2023.105053', 'CorpusId': 259081579}",10.1016/j.bspc.2023.105053,,,PPR,automatic,Cao2023BreastCD
11,b7ec16f909aab6108bcc4e88e2312e7f0ec46156,"CBIS-DDSM, MIAS",A divide and conquer approach to maximise deep learning mammography classification accuracies,"Breast cancer claims 11,400 lives on average every year in the UK, making it one of the deadliest diseases. Mammography is the gold standard for detecting early signs of breast cancer, which can help cure the disease during its early stages. However, incorrect mammography diagnoses are common and may harm patients through unnecessary treatments and operations (or a lack of treatment). Therefore, systems that can learn to detect breast cancer on their own could help reduce the number of incorrect interpretations and missed cases. Various deep learning techniques, which can be used to implement a system that learns how to detect instances of breast cancer in mammograms, are explored throughout this paper. Convolution Neural Networks (CNNs) are used as part of a pipeline based on deep learning techniques. A divide and conquer approach is followed to analyse the effects on performance and efficiency when utilising diverse deep learning techniques such as varying network architectures (VGG19, ResNet50, InceptionV3, DenseNet121, MobileNetV2), class weights, input sizes, image ratios, pre-processing techniques, transfer learning, dropout rates, and types of mammogram projections. This approach serves as a starting point for model development of mammography classification tasks. Practitioners can benefit from this work by using the divide and conquer results to select the most suitable deep learning techniques for their case out-of-the-box, thus reducing the need for extensive exploratory experimentation. Multiple techniques are found to provide accuracy gains relative to a general baseline (VGG19 model using uncropped 512 × 512 pixels input images with a dropout rate of 0.2 and a learning rate of 1 × 10−3) on the Curated Breast Imaging Subset of DDSM (CBIS-DDSM) dataset. These techniques involve transfer learning pre-trained ImagetNet weights to a MobileNetV2 architecture, with pre-trained weights from a binarised version of the mini Mammography Image Analysis Society (mini-MIAS) dataset applied to the fully connected layers of the model, coupled with using weights to alleviate class imbalance, and splitting CBIS-DDSM samples between images of masses and calcifications. Using these techniques, a 5.6% gain in accuracy over the baseline model was accomplished. Other deep learning techniques from the divide and conquer approach, such as larger image sizes, do not yield increased accuracies without the use of image pre-processing techniques such as Gaussian filtering, histogram equalisation and input cropping.",2023.0,https://www.semanticscholar.org/paper/b7ec16f909aab6108bcc4e88e2312e7f0ec46156,11,True,PLoS ONE,Medicine,JournalArticle,"{'volume': '18', 'name': 'PLOS ONE'}","Adam Jaamour, Craig Myles, Ashay Patel, Shuen-Jen Chen, Lewis McMillan, David Harris-Birtill","{'PubMedCentral': '10218746', 'DOI': '10.1371/journal.pone.0280841', 'CorpusId': 258928760, 'PubMed': '37235566'}",10.1371/journal.pone.0280841,,37235566.0,"PPR, ROC, accuracy",automatic,Jaamour2023ADA
12,4609ebda9d57149cb7850977ab44f08b62f43107,"CBIS-DDSM, INbreast",DeepMiCa: Automatic segmentation and classification of breast MIcroCAlcifications from mammograms,,2023.0,https://www.semanticscholar.org/paper/4609ebda9d57149cb7850977ab44f08b62f43107,14,False,Comput. Methods Programs Biomed.,"Computer Science, Medicine",JournalArticle,"{'volume': '235', 'pages': '\n          107483\n        ', 'name': 'Computer methods and programs in biomedicine'}","Alessia Gerbasi, Greta Clementi, F. Corsi, S. Albasini, A. Malovini, S. Quaglini, R. Bellazzi","{'DBLP': 'journals/cmpb/GerbasiCCAMQB23', 'DOI': '10.1016/j.cmpb.2023.107483', 'CorpusId': 251562673, 'PubMed': '37030174'}",10.1016/j.cmpb.2023.107483,,37030174.0,ROC,automatic,Gerbasi2023DeepMiCaAS
13,12f758ecef890db5e5eef1a49a76855a3e1ef9b9,DDSM,Deep feature selection using local search embedded social ski-driver optimization algorithm for breast cancer detection in mammograms,"Breast cancer has become a common malignancy in women. However, early detection and identification of this disease can save many lives. As computer-aided detection helps radiologists in detecting abnormalities efficiently, researchers across the world are striving to develop reliable models to deal with. One of the common approaches to identifying breast cancer is through breast mammograms. However, the identification of malignant breasts from mass lesions is a challenging research problem. In the current work, we propose a method for the classification of breast mass using mammograms which consists of two main stages. At first, we extract deep features from the input mammograms using the well-known VGG16 model while incorporating an attention mechanism into this model. Next, we apply a meta-heuristic called Social Ski-Driver (SSD) algorithm embedded with Adaptive Beta Hill Climbing based local search to obtain an optimal features subset. The optimal features subset is fed to the K-nearest neighbors (KNN) classifier for the classification. The proposed model is demonstrated to be very useful for identifying and differentiating malignant and healthy breasts successfully. For experimentation, we evaluate our model on the digital database for screening mammography (DDSM) database and achieve 96.07% accuracy using only 25% of features extracted by the attention-aided VGG16 model. The Python code of our research work is publicly available at: https://github.com/Ppayel/BreastLocalSearchSSD .",2022.0,https://www.semanticscholar.org/paper/12f758ecef890db5e5eef1a49a76855a3e1ef9b9,28,True,Neural computing & applications (Print),"Medicine, Computer Science",JournalArticle,"{'volume': '35', 'pages': '5479 - 5499', 'name': 'Neural Computing & Applications'}","Payel Pramanik, Souradeep Mukhopadhyay, Seyedali Mirjalili, Ram Sarkar","{'DBLP': 'journals/nca/PramanikMMS23', 'PubMedCentral': '9638217', 'DOI': '10.1007/s00521-022-07895-x', 'CorpusId': 253375184, 'PubMed': '36373132'}",10.1007/s00521-022-07895-x,,36373132.0,"PPR, accuracy",automatic,Pramanik2022DeepFS
14,85deafa7949121ada7640c64cc62d95e3cdee9ac,"CBIS-DDSM, INbreast",An integrated framework for breast mass classification and diagnosis using stacked ensemble of residual neural networks,"A computer-aided diagnosis (CAD) system requires automated stages of tumor detection, segmentation, and classification that are integrated sequentially into one framework to assist the radiologists with a final diagnosis decision. In this paper, we introduce the final step of breast mass classification and diagnosis using a stacked ensemble of residual neural network (ResNet) models (i.e. ResNet50V2, ResNet101V2, and ResNet152V2). The work presents the task of classifying the detected and segmented breast masses into malignant or benign, and diagnosing the Breast Imaging Reporting and Data System (BI-RADS) assessment category with a score from 2 to 6 and the shape as oval, round, lobulated, or irregular. The proposed methodology was evaluated on two publicly available datasets, the Curated Breast Imaging Subset of Digital Database for Screening Mammography (CBIS-DDSM) and INbreast, and additionally on a private dataset. Comparative experiments were conducted on the individual models and an average ensemble of models with an XGBoost classifier. Qualitative and quantitative results show that the proposed model achieved better performance for (1) Pathology classification with an accuracy of 95.13%, 99.20%, and 95.88%; (2) BI-RADS category classification with an accuracy of 85.38%, 99%, and 96.08% respectively on CBIS-DDSM, INbreast, and the private dataset; and (3) shape classification with 90.02% on the CBIS-DDSM dataset. Our results demonstrate that our proposed integrated framework could benefit from all automated stages to outperform the latest deep learning methodologies.",2022.0,https://www.semanticscholar.org/paper/85deafa7949121ada7640c64cc62d95e3cdee9ac,28,True,Scientific Reports,Medicine,JournalArticle,"{'volume': '12', 'name': 'Scientific Reports'}","Asma Baccouche, B. Garcia-Zapirain, Adel Said Elmaghraby","{'PubMedCentral': '9293883', 'DOI': '10.1038/s41598-022-15632-6', 'CorpusId': 250642388, 'PubMed': '35851592'}",10.1038/s41598-022-15632-6,,35851592.0,accuracy,automatic,Baccouche2022AnIF
